gateNo,typeAccepted,refuelingCapable,maxCartsAccepted,stationName,,stationName,location,,trainNo,departureTime,arrivalTime,routeStatus,,trainNo,totalLocomotiveCarts,totalTransportCarts,totalPassengerCarts,rdyForUtil,stationName
14121,passenger,Yes,78,SÃ¶ke Station,,SÃ¶ke Station,SÃ¶ke,,"28,624,745,400.00",19:43,,Arrived,,"28,624,745,400.00",2,4,4,TRUE,SÃ¶ke Station
86320,passenger,Yes,34,MarÃ­a Elena Station,,MarÃ­a Elena Station,MarÃ­a Elena,,"88,211,176,392.00",11:39,,Scheduled,,"88,211,176,392.00",1,10,10,TRUE,MarÃ­a Elena Station
49750,cargo,Yes,24,AgustÃ­n Codazzi Station,,AgustÃ­n Codazzi Station,AgustÃ­n Codazzi,,"3,405,263,425.00",07:45,,Scheduled,,"3,405,263,425.00",2,9,15,FALSE,AgustÃ­n Codazzi Station
48318,cargo,Yes,79,Sittard Station,,Sittard Station,Sittard,,"72,271,608,858.00",03:35,,On-Time,,"72,271,608,858.00",1,2,14,TRUE,Sittard Station
45070,cargo,No,50,Scorrano Station,,Scorrano Station,Scorrano,,"7,520,559,329.00",18:41,,Arrived,,"7,520,559,329.00",1,2,18,FALSE,Scorrano Station
21777,passenger,No,41,Mogi das Cruzes Station,,Mogi das Cruzes Station,Mogi das Cruzes,,"49,773,030,743.00",08:41,,Boarding,,"49,773,030,743.00",1,4,13,FALSE,Mogi das Cruzes Station
66088,cargo,Yes,27,Smolensk Station,,Smolensk Station,Smolensk,,"64,128,273,008.00",14:45,,On-Time,,"64,128,273,008.00",1,2,9,TRUE,Smolensk Station
36640,passenger,No,67,Geoje Station,,Geoje Station,Geoje,,"91,469,956,564.00",14:30,,Boarding,,"91,469,956,564.00",2,18,6,TRUE,Geoje Station
21241,cargo,Yes,66,Celaya Station,,Celaya Station,Celaya,,"81,362,142,915.00",15:05,,Boarding,,"81,362,142,915.00",2,3,12,TRUE,Celaya Station
62983,cargo,Yes,45,Sungai Penuh Station,,Sungai Penuh Station,Sungai Penuh,,"23,677,565,473.00",05:48,,On-Time,,"23,677,565,473.00",1,12,5,TRUE,Sungai Penuh Station
35795,passenger,No,95,Kilmalcolm Station,,Kilmalcolm Station,Kilmalcolm,,"88,346,604,340.00",00:56,,Early,,"88,346,604,340.00",1,16,18,FALSE,Kilmalcolm Station
20789,cargo,Yes,76,Delhi Station,,Delhi Station,Delhi,,"71,791,267,265.00",16:28,,Scheduled,,"71,791,267,265.00",1,19,18,FALSE,Delhi Station
82030,cargo,Yes,83,Bengkulu Station,,Bengkulu Station,Bengkulu,,"98,030,485,417.00",23:07,,Arrived,,"98,030,485,417.00",2,18,6,FALSE,Bengkulu Station
90994,passenger,Yes,40,The Hague Station,,The Hague Station,The Hague,,"27,761,268,642.00",18:31,,On-Time,,"27,761,268,642.00",2,17,18,TRUE,The Hague Station
37280,passenger,No,40,Nampa Station,,Nampa Station,Nampa,,"85,601,390,999.00",14:10,,On-Time,,"85,601,390,999.00",1,15,12,TRUE,Nampa Station
71846,passenger,Yes,15,Guadalajara Station,,Guadalajara Station,Guadalajara,,"8,243,324,400.00",07:30,,Arrived,,"8,243,324,400.00",1,15,8,FALSE,Guadalajara Station
6849,cargo,Yes,35,Whakatane Station,,Whakatane Station,Whakatane,,"50,788,221,635.00",23:05,,Arrived,,"50,788,221,635.00",1,2,13,FALSE,Whakatane Station
6319,cargo,Yes,85,Newton Stewart Station,,Newton Stewart Station,Newton Stewart,,"93,440,349,316.00",16:06,,Early,,"93,440,349,316.00",2,10,13,TRUE,Newton Stewart Station
3320,cargo,Yes,12,Bauchi Station,,Bauchi Station,Bauchi,,"53,864,059,891.00",15:39,,Scheduled,,"53,864,059,891.00",2,12,12,TRUE,Bauchi Station
68784,passenger,No,25,San Rafael Station,,San Rafael Station,San Rafael,,"15,562,293,500.00",10:28,,Boarding,,"15,562,293,500.00",1,1,18,TRUE,San Rafael Station
45181,passenger,Yes,98,Rangiora Station,,Rangiora Station,Rangiora,,"84,642,243,755.00",04:14,,Boarding,,"84,642,243,755.00",1,3,8,FALSE,Rangiora Station
57544,passenger,No,37,Banjarmasin Station,,Banjarmasin Station,Banjarmasin,,"96,283,874,978.00",16:12,,Early,,"96,283,874,978.00",1,18,18,FALSE,Banjarmasin Station
67861,cargo,Yes,74,Fishguard Station,,Fishguard Station,Fishguard,,"68,275,720,590.00",19:47,,Arrived,,"68,275,720,590.00",2,5,3,TRUE,Fishguard Station
4574,cargo,Yes,64,Hoyerswerda Station,,Hoyerswerda Station,Hoyerswerda,,"72,696,685,594.00",05:17,,On-Time,,"72,696,685,594.00",2,20,12,TRUE,Hoyerswerda Station
89326,cargo,No,22,Yaroslavl Station,,Yaroslavl Station,Yaroslavl,,"54,177,183,472.00",00:20,,Early,,"54,177,183,472.00",2,8,7,FALSE,Yaroslavl Station
28149,passenger,No,54,Liberia Station,,Liberia Station,Liberia,,"16,597,806,143.00",17:46,,Boarding,,"16,597,806,143.00",0,7,14,TRUE,Liberia Station
13999,passenger,No,81,Kaneohe Station,,Kaneohe Station,Kaneohe,,"32,253,982,490.00",10:24,,Arrived,,"32,253,982,490.00",1,14,19,FALSE,Kaneohe Station
89486,cargo,Yes,36,Da Lat Station,,Da Lat Station,Da Lat,,"15,614,167,509.00",00:57,,Boarding,,"15,614,167,509.00",0,13,9,TRUE,Da Lat Station
56091,cargo,No,30,Camarones Station,,Camarones Station,Camarones,,"29,759,215,553.00",09:01,,Boarding,,"29,759,215,553.00",0,8,1,TRUE,Camarones Station
3310,cargo,No,96,Le Petit-Quevilly Station,,Le Petit-Quevilly Station,Le Petit-Quevilly,,"52,473,100,924.00",07:17,,Early,,"52,473,100,924.00",1,7,15,TRUE,Le Petit-Quevilly Station
62354,cargo,No,65,Istanbul Station,,Istanbul Station,Istanbul,,"59,006,789,524.00",10:58,,Boarding,,"59,006,789,524.00",0,17,3,TRUE,Istanbul Station
48587,passenger,Yes,91,Wolfsburg Station,,Wolfsburg Station,Wolfsburg,,"58,693,614,290.00",18:31,,Arrived,,"58,693,614,290.00",1,1,7,TRUE,Wolfsburg Station
73114,passenger,No,71,Brunn am Gebirge Station,,Brunn am Gebirge Station,Brunn am Gebirge,,"51,557,531,846.00",06:48,,On-Time,,"51,557,531,846.00",2,13,17,TRUE,Brunn am Gebirge Station
59747,cargo,Yes,55,Maryborough Station,,Maryborough Station,Maryborough,,"25,414,343,612.00",22:34,,Early,,"25,414,343,612.00",1,7,12,TRUE,Maryborough Station
63000,passenger,No,22,JuÃ¡rez Station,,JuÃ¡rez Station,JuÃ¡rez,,"5,754,969,587.00",23:29,,On-Time,,"5,754,969,587.00",2,19,11,TRUE,JuÃ¡rez Station
80425,passenger,No,81,Kenosha Station,,Kenosha Station,Kenosha,,"63,358,963,451.00",17:55,,Arrived,,"63,358,963,451.00",1,11,4,TRUE,Kenosha Station
18307,cargo,Yes,96,Jeju Station,,Jeju Station,Jeju,,"94,377,805,707.00",00:15,,Boarding,,"94,377,805,707.00",2,11,5,FALSE,Jeju Station
5654,cargo,Yes,77,Worms Station,,Worms Station,Worms,,"14,099,041,339.00",06:52,,Early,,"14,099,041,339.00",0,1,9,TRUE,Worms Station
86365,passenger,No,91,Amiens Station,,Amiens Station,Amiens,,"29,898,066,079.00",06:15,,Early,,"29,898,066,079.00",0,0,19,TRUE,Amiens Station
62305,cargo,Yes,47,Ledeberg Station,,Ledeberg Station,Ledeberg,,"48,113,586,008.00",06:36,,Arrived,,"48,113,586,008.00",2,1,16,TRUE,Ledeberg Station
1118,passenger,No,86,Moerbeke Station,,Moerbeke Station,Moerbeke,,"98,113,011,935.00",22:30,,Scheduled,,"98,113,011,935.00",1,2,14,TRUE,Moerbeke Station
8059,cargo,No,26,Prenzlau Station,,Prenzlau Station,Prenzlau,,"1,612,313,662.00",14:10,,Early,,"1,612,313,662.00",1,13,10,FALSE,Prenzlau Station
52153,cargo,Yes,70,Ovalle Station,,Ovalle Station,Ovalle,,"17,520,594,338.00",13:31,,Arrived,,"17,520,594,338.00",2,12,11,FALSE,Ovalle Station
59501,passenger,Yes,99,Ciudad Apodaca Station,,Ciudad Apodaca Station,Ciudad Apodaca,,"37,053,278,667.00",11:42,,Early,,"37,053,278,667.00",0,8,7,FALSE,Ciudad Apodaca Station
77743,passenger,No,89,Angers Station,,Angers Station,Angers,,"25,498,558,468.00",05:39,,Boarding,,"25,498,558,468.00",0,4,5,FALSE,Angers Station
74772,passenger,Yes,28,Villahermosa Station,,Villahermosa Station,Villahermosa,,"40,155,956,331.00",04:36,,Arrived,,"40,155,956,331.00",1,7,7,TRUE,Villahermosa Station
41558,cargo,No,45,Shanxi Station,,Shanxi Station,Shanxi,,"8,045,153,729.00",15:31,,On-Time,,"8,045,153,729.00",0,13,13,TRUE,Shanxi Station
83579,cargo,No,94,Hofors Station,,Hofors Station,Hofors,,"30,662,366,055.00",20:18,,Scheduled,,"30,662,366,055.00",0,8,1,TRUE,Hofors Station
2208,passenger,Yes,44,Wick Station,,Wick Station,Wick,,"24,619,837,274.00",22:48,,Early,,"24,619,837,274.00",1,14,9,FALSE,Wick Station
85698,passenger,No,22,Chongqing Station,,Chongqing Station,Chongqing,,"9,387,990,171.00",16:51,,Boarding,,"9,387,990,171.00",0,4,5,FALSE,Chongqing Station
33366,cargo,No,59,ThÃ¡i NguyÃªn Station,,ThÃ¡i NguyÃªn Station,ThÃ¡i NguyÃªn,,"68,285,847,892.00",09:06,,Boarding,,"68,285,847,892.00",1,15,16,TRUE,ThÃ¡i NguyÃªn Station
78191,passenger,Yes,90,TÃ¤by Station,,TÃ¤by Station,TÃ¤by,,"90,642,207,131.00",00:43,,On-Time,,"90,642,207,131.00",0,16,6,FALSE,TÃ¤by Station
24976,cargo,Yes,54,Bridgeport Station,,Bridgeport Station,Bridgeport,,"70,197,761,604.00",13:50,,On-Time,,"70,197,761,604.00",1,15,3,FALSE,Bridgeport Station
40268,passenger,Yes,24,Bellevue Station,,Bellevue Station,Bellevue,,"23,039,434,475.00",14:41,,On-Time,,"23,039,434,475.00",2,1,9,TRUE,Bellevue Station
76113,passenger,No,58,JaÃ©n Station,,JaÃ©n Station,JaÃ©n,,"23,143,722,777.00",19:52,,Boarding,,"23,143,722,777.00",0,16,1,TRUE,JaÃ©n Station
1012,passenger,No,66,Palopo Station,,Palopo Station,Palopo,,"84,481,995,897.00",04:00,,Scheduled,,"84,481,995,897.00",0,11,11,TRUE,Palopo Station
78965,cargo,Yes,11,Zamora de Hidalgo Station,,Zamora de Hidalgo Station,Zamora de Hidalgo,,"61,630,790,007.00",10:44,,On-Time,,"61,630,790,007.00",2,15,15,FALSE,Zamora de Hidalgo Station
27151,cargo,No,45,Gary Station,,Gary Station,Gary,,"91,137,806,680.00",01:08,,On-Time,,"91,137,806,680.00",1,16,14,FALSE,Gary Station
64872,cargo,Yes,19,AnÃ¡polis Station,,AnÃ¡polis Station,AnÃ¡polis,,"7,911,510,739.00",09:54,,Boarding,,"7,911,510,739.00",1,7,20,FALSE,AnÃ¡polis Station
70250,cargo,No,67,Gorbea Station,,Gorbea Station,Gorbea,,"49,217,034,070.00",01:43,,Scheduled,,"49,217,034,070.00",0,16,4,FALSE,Gorbea Station
75407,passenger,No,52,Guysborough Station,,Guysborough Station,Guysborough,,"82,772,577,972.00",01:43,,On-Time,,"82,772,577,972.00",1,16,8,TRUE,Guysborough Station
12727,passenger,No,87,Helmond Station,,Helmond Station,Helmond,,"29,213,870,566.00",13:45,,Arrived,,"29,213,870,566.00",0,18,11,TRUE,Helmond Station
84419,cargo,Yes,83,Chuncheon Station,,Chuncheon Station,Chuncheon,,"14,861,602,763.00",15:04,,On-Time,,"14,861,602,763.00",0,4,14,FALSE,Chuncheon Station
64948,passenger,Yes,59,IpÃ­s Station,,IpÃ­s Station,IpÃ­s,,"8,479,070,315.00",03:51,,On-Time,,"8,479,070,315.00",2,20,8,FALSE,IpÃ­s Station
72725,passenger,Yes,73,Bischofshofen Station,,Bischofshofen Station,Bischofshofen,,"80,998,754,291.00",23:41,,On-Time,,"80,998,754,291.00",1,19,13,TRUE,Bischofshofen Station
88045,cargo,No,29,Mesoraca Station,,Mesoraca Station,Mesoraca,,"17,126,509,636.00",19:27,,Boarding,,"17,126,509,636.00",1,6,14,FALSE,Mesoraca Station
93779,cargo,Yes,72,CametÃ¡ Station,,CametÃ¡ Station,CametÃ¡,,"23,258,985,732.00",02:24,,Scheduled,,"23,258,985,732.00",2,2,13,TRUE,CametÃ¡ Station
65958,passenger,No,97,Ulyanovsk Station,,Ulyanovsk Station,Ulyanovsk,,"47,027,480,188.00",15:17,,Scheduled,,"47,027,480,188.00",1,7,4,FALSE,Ulyanovsk Station
81034,cargo,No,30,Yeosu Station,,Yeosu Station,Yeosu,,"3,253,746,398.00",17:18,,Early,,"3,253,746,398.00",2,4,8,TRUE,Yeosu Station
42628,cargo,Yes,65,KarapÄ±nar Station,,KarapÄ±nar Station,KarapÄ±nar,,"20,618,251,756.00",01:57,,Scheduled,,"20,618,251,756.00",2,2,8,FALSE,KarapÄ±nar Station
2787,cargo,Yes,98,Melville Station,,Melville Station,Melville,,"42,612,578,857.00",09:20,,Early,,"42,612,578,857.00",2,3,12,TRUE,Melville Station
30782,cargo,No,33,Inveraray Station,,Inveraray Station,Inveraray,,"87,333,347,883.00",11:20,,Early,,"87,333,347,883.00",1,15,15,FALSE,Inveraray Station
78407,passenger,No,14,Aubervilliers Station,,Aubervilliers Station,Aubervilliers,,"27,706,452,484.00",11:12,,Early,,"27,706,452,484.00",1,12,4,FALSE,Aubervilliers Station
99531,passenger,No,85,Galway Station,,Galway Station,Galway,,"17,348,001,056.00",08:55,,Scheduled,,"17,348,001,056.00",1,7,17,TRUE,Galway Station
51195,passenger,Yes,37,Harnai Station,,Harnai Station,Harnai,,"78,695,700,751.00",07:40,,Early,,"78,695,700,751.00",0,4,19,FALSE,Harnai Station
3229,passenger,No,34,Hebei Station,,Hebei Station,Hebei,,"14,834,764,024.00",08:52,,Early,,"14,834,764,024.00",1,19,8,FALSE,Hebei Station
94570,passenger,Yes,43,Huancayo Station,,Huancayo Station,Huancayo,,"25,342,090,394.00",08:35,,Early,,"25,342,090,394.00",1,10,2,TRUE,Huancayo Station
94464,cargo,No,31,PÅ‚ock Station,,PÅ‚ock Station,PÅ‚ock,,"52,797,428,137.00",06:54,,Boarding,,"52,797,428,137.00",0,4,12,FALSE,PÅ‚ock Station
19206,cargo,No,24,Lumaco Station,,Lumaco Station,Lumaco,,"40,197,832,402.00",00:19,,Arrived,,"40,197,832,402.00",0,18,11,FALSE,Lumaco Station
71484,passenger,No,61,Mersin Station,,Mersin Station,Mersin,,"34,750,166,517.00",02:50,,Arrived,,"34,750,166,517.00",1,8,12,FALSE,Mersin Station
84543,passenger,Yes,15,Kurgan Station,,Kurgan Station,Kurgan,,"3,767,277,670.00",10:07,,Boarding,,"3,767,277,670.00",1,14,6,TRUE,Kurgan Station
46239,cargo,No,29,Cerreto di Spoleto Station,,Cerreto di Spoleto Station,Cerreto di Spoleto,,"70,991,914,303.00",04:57,,Early,,"70,991,914,303.00",0,16,12,TRUE,Cerreto di Spoleto Station
5679,passenger,Yes,44,Nowshera Station,,Nowshera Station,Nowshera,,"57,024,108,061.00",04:21,,Scheduled,,"57,024,108,061.00",0,4,13,FALSE,Nowshera Station
9837,passenger,No,71,Kaluga Station,,Kaluga Station,Kaluga,,"15,284,623,748.00",02:51,,Arrived,,"15,284,623,748.00",2,7,2,FALSE,Kaluga Station
72340,cargo,No,23,San Francisco Station,,San Francisco Station,San Francisco,,"6,008,753,256.00",20:38,,Early,,"6,008,753,256.00",0,4,13,FALSE,San Francisco Station
43900,passenger,No,16,Mohmand Agency Station,,Mohmand Agency Station,Mohmand Agency,,"72,154,814,079.00",22:34,,Arrived,,"72,154,814,079.00",1,9,18,FALSE,Mohmand Agency Station
71305,passenger,Yes,61,Bierges Station,,Bierges Station,Bierges,,"18,536,609,267.00",22:33,,Boarding,,"18,536,609,267.00",1,5,6,TRUE,Bierges Station
8335,passenger,Yes,32,ChapecÃ³ Station,,ChapecÃ³ Station,ChapecÃ³,,"8,811,026,510.00",07:56,,Scheduled,,"8,811,026,510.00",1,19,15,FALSE,ChapecÃ³ Station
49300,passenger,No,15,Sichuan Station,,Sichuan Station,Sichuan,,"28,389,821,470.00",08:06,,Boarding,,"28,389,821,470.00",2,6,15,TRUE,Sichuan Station
37415,passenger,No,76,Alto BiobÃ­o Station,,Alto BiobÃ­o Station,Alto BiobÃ­o,,"14,490,835,246.00",20:53,,On-Time,,"14,490,835,246.00",1,16,10,TRUE,Alto BiobÃ­o Station
94106,cargo,No,30,Rigolet Station,,Rigolet Station,Rigolet,,"92,376,086,982.00",18:46,,Early,,"92,376,086,982.00",1,18,18,TRUE,Rigolet Station
27605,cargo,Yes,10,Manokwari Station,,Manokwari Station,Manokwari,,"1,592,000,849.00",17:39,,Boarding,,"1,592,000,849.00",1,13,8,TRUE,Manokwari Station
46453,passenger,Yes,13,Granada Station,,Granada Station,Granada,,"1,417,572,985.00",09:35,,On-Time,,"1,417,572,985.00",2,19,9,TRUE,Granada Station
30810,cargo,Yes,90,CÃ³rdoba Station,,CÃ³rdoba Station,CÃ³rdoba,,"71,429,156,981.00",10:38,,On-Time,,"71,429,156,981.00",2,8,17,TRUE,CÃ³rdoba Station
21518,passenger,No,65,Awka Station,,Awka Station,Awka,,"88,667,910,419.00",02:11,,Boarding,,"88,667,910,419.00",0,1,13,TRUE,Awka Station
3886,passenger,Yes,54,Greater Hobart Station,,Greater Hobart Station,Greater Hobart,,"28,996,787,326.00",20:35,,On-Time,,"28,996,787,326.00",1,16,2,TRUE,Greater Hobart Station
56533,cargo,No,15,Semarang Station,,Semarang Station,Semarang,,"2,156,108,307.00",09:18,,Scheduled,,"2,156,108,307.00",2,14,2,FALSE,Semarang Station
19407,cargo,No,84,Antakya Station,,Antakya Station,Antakya,,"93,396,042,954.00",10:51,,On-Time,,"93,396,042,954.00",1,14,4,FALSE,Antakya Station
18337,cargo,Yes,93,Vialky Station,,Vialky Station,Vialky,,"77,439,668,547.00",10:20,,Scheduled,,"77,439,668,547.00",1,11,16,TRUE,Vialky Station
50746,passenger,No,99,Foz do IguaÃ§u Station,,Foz do IguaÃ§u Station,Foz do IguaÃ§u,,"75,376,437,590.00",10:27,,Scheduled,,"75,376,437,590.00",2,16,6,FALSE,Foz do IguaÃ§u Station
33341,cargo,No,66,Lalbahadur Nagar Station,,Lalbahadur Nagar Station,Lalbahadur Nagar,,"48,103,710,349.00",14:57,,Early,,"48,103,710,349.00",1,4,7,TRUE,Lalbahadur Nagar Station
56890,passenger,Yes,80,Donosti Station,,Donosti Station,Donosti,,"768,947,210.00",22:21,,On-Time,,"768,947,210.00",2,9,19,FALSE,Donosti Station
74998,passenger,Yes,59,Ningxia Station,,Ningxia Station,Ningxia,,"41,454,868,605.00",13:34,,Early,,"41,454,868,605.00",2,14,3,FALSE,Ningxia Station
29537,passenger,No,21,Abbotsford Station,,Abbotsford Station,Abbotsford,,"33,496,163,361.00",15:16,,On-Time,,"33,496,163,361.00",0,3,16,TRUE,Abbotsford Station
54246,passenger,Yes,35,Zoerle-Parwijs Station,,Zoerle-Parwijs Station,Zoerle-Parwijs,,"72,038,434,936.00",07:34,,Scheduled,,"72,038,434,936.00",2,12,6,TRUE,Zoerle-Parwijs Station
32610,cargo,No,77,NorrkÃ¶ping Station,,NorrkÃ¶ping Station,NorrkÃ¶ping,,"70,931,353,309.00",15:42,,On-Time,,"70,931,353,309.00",2,6,7,FALSE,NorrkÃ¶ping Station
35791,passenger,No,21,Kufstein Station,,Kufstein Station,Kufstein,,"4,003,648,576.00",04:48,,Early,,"4,003,648,576.00",0,6,9,FALSE,Kufstein Station
99540,cargo,Yes,48,YahyalÄ± Station,,YahyalÄ± Station,YahyalÄ±,,"63,812,069,308.00",16:39,,Arrived,,"63,812,069,308.00",1,1,8,FALSE,YahyalÄ± Station
43134,cargo,No,45,Monclova Station,,Monclova Station,Monclova,,"59,209,621,470.00",08:30,,On-Time,,"59,209,621,470.00",2,15,15,FALSE,Monclova Station
37836,cargo,No,72,Hamilton Station,,Hamilton Station,Hamilton,,"19,409,521,052.00",14:45,,On-Time,,"19,409,521,052.00",1,18,2,FALSE,Hamilton Station
33487,passenger,No,17,HÅ½ron Station,,HÅ½ron Station,HÅ½ron,,"8,920,850,099.00",08:50,,Scheduled,,"8,920,850,099.00",1,14,10,TRUE,HÅ½ron Station
98509,passenger,Yes,65,Torghar Station,,Torghar Station,Torghar,,"31,857,256,975.00",20:45,,Boarding,,"31,857,256,975.00",2,11,12,TRUE,Torghar Station
59142,passenger,No,40,Asti Station,,Asti Station,Asti,,"70,079,958,828.00",02:01,,Boarding,,"70,079,958,828.00",0,15,3,FALSE,Asti Station
77276,cargo,Yes,91,Sakhalin Station,,Sakhalin Station,Sakhalin,,"88,567,875,577.00",02:35,,On-Time,,"88,567,875,577.00",2,10,16,TRUE,Sakhalin Station
39935,passenger,No,85,Cusco Station,,Cusco Station,Cusco,,"35,798,165,728.00",13:56,,Boarding,,"35,798,165,728.00",0,6,1,TRUE,Cusco Station
63183,passenger,Yes,43,Thá»§ Dáº§u Má»™t Station,,Thá»§ Dáº§u Má»™t Station,Thá»§ Dáº§u Má»™t,,"28,128,579,189.00",04:45,,Early,,"28,128,579,189.00",1,5,8,FALSE,Thá»§ Dáº§u Má»™t Station
40353,passenger,No,80,Rio de Janeiro Station,,Rio de Janeiro Station,Rio de Janeiro,,"15,985,170,300.00",06:21,,Early,,"15,985,170,300.00",0,1,19,TRUE,Rio de Janeiro Station
82724,cargo,No,51,Caen Station,,Caen Station,Caen,,"91,493,278,337.00",12:02,,Boarding,,"91,493,278,337.00",1,10,8,TRUE,Caen Station
82887,passenger,No,96,Akron Station,,Akron Station,Akron,,"99,195,935,823.00",15:47,,Early,,"99,195,935,823.00",2,7,20,TRUE,Akron Station
22304,passenger,No,66,Starachowice Station,,Starachowice Station,Starachowice,,"92,404,508,947.00",16:08,,Boarding,,"92,404,508,947.00",0,11,14,FALSE,Starachowice Station
9834,cargo,No,61,Bhimber Station,,Bhimber Station,Bhimber,,"15,189,141,706.00",03:58,,Early,,"15,189,141,706.00",2,16,16,TRUE,Bhimber Station
79705,passenger,Yes,47,Skardu Station,,Skardu Station,Skardu,,"16,251,947,703.00",23:59,,Boarding,,"16,251,947,703.00",1,5,9,TRUE,Skardu Station
37131,cargo,Yes,90,Getafe Station,,Getafe Station,Getafe,,"81,248,698,898.00",09:37,,Scheduled,,"81,248,698,898.00",0,17,15,TRUE,Getafe Station
13829,passenger,Yes,79,ÅÃ³dÅº Station,,ÅÃ³dÅº Station,ÅÃ³dÅº,,"42,144,004,453.00",10:18,,Arrived,,"42,144,004,453.00",0,11,8,TRUE,ÅÃ³dÅº Station
16225,cargo,Yes,38,Motala Station,,Motala Station,Motala,,"52,588,253,779.00",17:54,,Early,,"52,588,253,779.00",1,2,0,FALSE,Motala Station
73293,cargo,Yes,96,Houtave Station,,Houtave Station,Houtave,,"21,977,584,245.00",07:34,,On-Time,,"21,977,584,245.00",0,5,17,TRUE,Houtave Station
75388,passenger,No,32,Salzburg Station,,Salzburg Station,Salzburg,,"18,158,315,398.00",22:06,,Early,,"18,158,315,398.00",1,15,13,FALSE,Salzburg Station
51503,passenger,No,47,BiaÅ‚ystok Station,,BiaÅ‚ystok Station,BiaÅ‚ystok,,"94,717,806,186.00",06:01,,Early,,"94,717,806,186.00",0,18,11,TRUE,BiaÅ‚ystok Station
77611,cargo,Yes,79,Guaymas Station,,Guaymas Station,Guaymas,,"48,730,445,698.00",20:50,,Arrived,,"48,730,445,698.00",1,3,20,TRUE,Guaymas Station
90323,passenger,No,35,Vá»‹ Thanh Station,,Vá»‹ Thanh Station,Vá»‹ Thanh,,"81,321,038,641.00",18:51,,Arrived,,"81,321,038,641.00",1,12,4,TRUE,Vá»‹ Thanh Station
66810,passenger,Yes,31,Colchane Station,,Colchane Station,Colchane,,"77,092,050,140.00",08:23,,Scheduled,,"77,092,050,140.00",1,2,9,TRUE,Colchane Station
92131,passenger,No,51,Kaduna Station,,Kaduna Station,Kaduna,,"52,371,378,643.00",14:43,,On-Time,,"52,371,378,643.00",1,17,12,FALSE,Kaduna Station
4642,cargo,No,77,Reinbek Station,,Reinbek Station,Reinbek,,"80,557,231,950.00",14:36,,Scheduled,,"80,557,231,950.00",1,7,1,FALSE,Reinbek Station
46125,cargo,Yes,46,Nuremberg Station,,Nuremberg Station,Nuremberg,,"85,570,741,735.00",15:20,,Scheduled,,"85,570,741,735.00",1,19,9,FALSE,Nuremberg Station
82522,cargo,No,30,Montenero Val Cocchiara Station,,Montenero Val Cocchiara Station,Montenero Val Cocchiara,,"93,182,086,667.00",14:50,,Arrived,,"93,182,086,667.00",1,1,4,TRUE,Montenero Val Cocchiara Station
35958,passenger,Yes,94,Mespelare Station,,Mespelare Station,Mespelare,,"92,148,941,957.00",17:42,,Early,,"92,148,941,957.00",0,5,1,TRUE,Mespelare Station
54418,cargo,No,71,Soledad Station,,Soledad Station,Soledad,,"93,440,139,311.00",10:21,,Boarding,,"93,440,139,311.00",2,12,10,TRUE,Soledad Station
36202,passenger,Yes,61,Betim Station,,Betim Station,Betim,,"72,695,442,944.00",17:21,,Early,,"72,695,442,944.00",0,14,19,FALSE,Betim Station
24275,passenger,Yes,98,Miramichi Station,,Miramichi Station,Miramichi,,"96,979,918,819.00",20:00,,Early,,"96,979,918,819.00",0,2,15,FALSE,Miramichi Station
296,cargo,Yes,33,Tamworth Station,,Tamworth Station,Tamworth,,"71,850,383,058.00",19:53,,Boarding,,"71,850,383,058.00",1,12,3,TRUE,Tamworth Station
86454,cargo,No,47,Aieta Station,,Aieta Station,Aieta,,"59,288,810,103.00",11:43,,Boarding,,"59,288,810,103.00",2,4,13,TRUE,Aieta Station
72966,cargo,Yes,74,Portland Station,,Portland Station,Portland,,"88,850,359,618.00",02:17,,Early,,"88,850,359,618.00",0,6,7,TRUE,Portland Station
94899,cargo,No,60,MÃ¶dling Station,,MÃ¶dling Station,MÃ¶dling,,"22,490,711,408.00",10:21,,Scheduled,,"22,490,711,408.00",1,12,10,TRUE,MÃ¶dling Station
46557,cargo,Yes,82,Bagh Station,,Bagh Station,Bagh,,"82,445,962,833.00",07:25,,Arrived,,"82,445,962,833.00",2,7,13,FALSE,Bagh Station
39630,cargo,Yes,21,Roxburgh Station,,Roxburgh Station,Roxburgh,,"92,527,749,419.00",05:33,,On-Time,,"92,527,749,419.00",0,20,3,FALSE,Roxburgh Station
95493,cargo,No,51,Palangka Raya Station,,Palangka Raya Station,Palangka Raya,,"69,029,344,073.00",04:31,,On-Time,,"69,029,344,073.00",1,13,9,FALSE,Palangka Raya Station
72305,passenger,No,36,Ceuta Station,,Ceuta Station,Ceuta,,"30,427,005,829.00",01:09,,Scheduled,,"30,427,005,829.00",1,1,4,FALSE,Ceuta Station
78155,cargo,Yes,59,Fremantle Station,,Fremantle Station,Fremantle,,"62,493,114,758.00",08:25,,On-Time,,"62,493,114,758.00",0,0,5,TRUE,Fremantle Station
90638,cargo,Yes,29,Timaru Station,,Timaru Station,Timaru,,"4,984,719,791.00",18:05,,Boarding,,"4,984,719,791.00",1,2,13,FALSE,Timaru Station
22611,passenger,Yes,92,Nam Äá»‹nh Station,,Nam Äá»‹nh Station,Nam Äá»‹nh,,"93,420,240,692.00",23:45,,On-Time,,"93,420,240,692.00",2,18,14,FALSE,Nam Äá»‹nh Station
7614,passenger,Yes,94,Ellon Station,,Ellon Station,Ellon,,"28,054,472,181.00",23:51,,On-Time,,"28,054,472,181.00",1,5,15,FALSE,Ellon Station
